Unnamed: 0,Unnamed: 1,Number,Mean,Std. deviation,Std. error mean,t,Degree of freedom,Sig. (2-tailed)
Age,F,8,24.4,6.6,2.3,1.10,14.0,0.288
,M,8,29.4,11.0,3.9,,,
,Total,16,26.9,9.1,2.3,,,
RR,F,8,15.4,4.6,1.6,−1.66,14.0,0.12
,M,8,11.4,5.0,1.8,,,
,Total,16,13.4,5.1,1.3,,,
PR,F,8,68.7,18.3,6.5,−0.33,14.0,0.758
,M,8,66.2,11.5,4.1,,,
,Total,16,67.4,14.8,3.7,,,
