Unnamed: 0,"Seed region/MNI coordinates (x, y, z)",Main region in the target area,No of voxels,"MNI coordinate (x, y, z)",p-value FDRCp < 0.05 corrand Bonferroni p < 0.05 corr
1,"Left temporal parietal junction (− 50, − 42, 20)",Right precentral gyrus/supplementary motor area,872,"20, − 26, 66",0.000744
1,"Left temporal parietal junction (− 50, − 42, 20)",Left postcentral gyrus,571,"− 12, − 34, 80",0.00103
