Unnamed: 0,"Seed region/MNI coordinates (x, y, z)",Main region in the target area,No of voxels,"MNI coordinates(x, y, z)",p-value FDRCp < 0.05 corrand Bonferroni p < 0.05 corr
1,"Left temporal parietal junction (− 50, − 42, 20)",Left postcentral gyrus,519,"− 20, − 36, 66",0.002102
1,"Left temporal parietal junction (− 50, − 42, 20)",Right precentral gyrus,494,"20, − 24, 66",0.002102
1,"Left temporal parietal junction (− 50, − 42, 20)",Right putamen,456,"26, − 4, − 2",0.002102
1,"Left temporal parietal junction (− 50, − 42, 20)",Left putamen,330,"− 32, − 8, − 6",0.003349
1,"Left temporal parietal junction (− 50, − 42, 20)",Right supplementary motor area,308,"6, − 10, 54",0.003349
