Seed/source,"MNI coordinates (x, y, z)"
Left temporal parietal junction,"− 66, − 40, 10"
Left temporal parietal junction,"− 66, − 38, 24"
Left temporal parietal junction,"− 50, − 48, 10"
Left temporal parietal junction,"− 50, − 42, 20"
Left temporal parietal junction,"− 34, − 48, 12"
Right temporal parietal junction,"58,− 40, 24"
Right temporal parietal junction,"60,− 52, 16"
Right temporal parietal junction,"64,− 50, 14"
Right temporal parietal junction,"66,− 44, 20"
