Unnamed: 0,RAPM,CFT-3,Gf factor
M,23.98,61.06,0
SD,5.95,8.08,1
Min/max,10/35,39/75,− 2.51/1.69
Skewness,− 0.41,− 0.45,− 0.27
Kurtosis,− 0.6,− 0.04,− 0.68
r (Gf),0.91,0.91,
r (CFT-3),0.67,,
