Site,SWA,HUH,HRC,HKH,COI,KUT,KTT,UTO,ATV,ATV,ATT,ATT,KPU,"OSU, NKN",CIN
MRI scanner,Siemens,GE,GE,Siemens,Siemens,Siemens,Siemens,GE,Siemens,Siemens,Siemens,Siemens,Philips,Siemens,Siemens
MRI scanner,Verio,Signa HDxt,Signa HDxt,Spectra,Verio.Dot,TimTrio,Trio,MR750w,Verio,Verio.1,TimTrio,TimTrio.1,Achieva,TimTrio,TimTrio
"FoV, mm",256,256,256,256,256,225 × 240,225 × 240,240,256,256,256,256,256,256,256
Matrix,256 × 256,256 × 256,256 × 256,256 × 256,256 × 256,240 × 256,240 × 256,256 × 256,256 × 256,256 × 256,256 × 256,256 × 256,256 × 256,256 × 256,256 × 256
"Voxel size, mm3",1 × 1 × 1,1 × 1 × 1,1 × 1 × 1,1 × 1 × 1,1 × 1 × 1,0.9375 × 0.9375 × 1.0,0.9375 × 0.9375 × 1.0,1 × 1 × 1.2,1 × 1 × 1,1 × 1 × 1,1 × 1 × 1,1 × 1 × 1,1 × 1 × 1,1 × 1 × 1,1 × 1 × 1
"TR, ms",2300,6812,6812,1900,2300,2000,2000,7.7,2250,2300,2250,2300,7.1,2300,1900
"TE, ms",2.98,1896,1896,2.38,2.98,3.4,4.38,3.1,3.06,2.98,3.06,2.98,3.3,2.98,2.48
"TI, ms",900,450,450,900,900,990,990,400,900,900,900,900,502,900,900
"Flip angle, deg",9,20,20,10,9,8,8,11,9,9,9,9,10,9,9
