Brain regions,Side,Peak,Peak.1,Peak.2,Cluster size,t-value
Patients-pre > HC,Patients-pre > HC,Patients-pre > HC,Patients-pre > HC,Patients-pre > HC,Patients-pre > HC,Patients-pre > HC
Insula,Right,39,3,−6,161,4.8275
Inferior frontal cortex,,,,,140,
Patients-pre > patients-post,Patients-pre > patients-post,Patients-pre > patients-post,,,,
Angular cortex,Right,54,–57,30,214,−3.9474
Anterior cingulate cortex,Left,−15,33,6,125,−5.4416
Precuneus,Right,0,−54,48,150,−4.687
Precuneus,,,,,182,
