Groups,Regions,MNI coordinates,Cluster voxels,T value (peak voxels)
DC,,,,
TLEIP vs. HCs,Middle temporal gyrus_L,"(−61, −47,3)",47.0,4.3149
TLEIP vs. TLE,Middle temporal gyrus_L,"(−61, −47,6)",43.0,4.336
without IP,,,,
TLE vs. HCs,Negative finding,,,
