Measures,p,stat,"HC, mean (SD)","COVID, mean (SD)"
Age (years),0.66,−0.44 (t),33.50 (9.74),34.63 (11.54)
Sex,0.38,0.76 (χ2),"23M, 7F","31M, 15F"
Fatigue,2.097e-07,36.5 (T),0.65 (0.79),2.93 (1.21)
