Demographic category,Male N = 43,Female N = 70,t,p
Age (years),27.37 ± 7.04,26.33 ± 4.40,0.971,0.334
Education,,,5.439,0.066
High school,6,2,,
Undergraduate,22,45,,
Graduate,15,23,,
Mean FD,,,,
AP,0.145 ± 0.076,0.132 ± 0.061,1.012,0.314
PA,0.137 ± 0.066,0.126 ± 0.054,0.958,0.34
