Classifier,Accuracy (%),Sensitivity (%),Specificity (%),PPV (%),NPV (%)
GB,78.2,75.0,80.0,66.6,85.7
RF,69.5,87.5,60.0,46.6,90.0
SVM,56.5,75.0,46.6,42.8,77.7
