Classifier,Accuracy (%),Sensitivity (%),Specificity (%),PPV (%),NPV (%)
GB,74.2,69.8,78.6,79.1,71.7
RF,69.2,68.0,70.4,72.9,68.0
SVM,51.8,62.4,41.3,50.5,57.3
