PANSS,rsFC,r,p
Excited scores,LOFC-right median cingulate,−0.274,0.041???
Excited scores,LOFC-left paracentral lobule,−0.387,0.003**
Excited scores,LOFC-right paracentral lobule,−0.401,0.002**
Excited scores,LOFC-left precentral gyrus,−0.299,0.025???
Excited scores,LOFC-right precentral gyrus,−0.311,0.02???
Excited scores,LOFC-right postcentral gyrus,−0.326,0.014???
Excited scores,LOFC-left postcentral gyrus,−0.378,0.004**
