ROI,Region,Cluster (voxel),MNI coordinates (mm),MNI coordinates (mm),MNI coordinates (mm),T-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,X,Y,Z,Unnamed: 6_level_1
LOFC,Left postcentral gyrus,53,−31,−33,52,−4.222
LOFC,Right middle frontal gyrus,53,27,−24,60,−3.756
LOFC,Left precentral gyrus,50,−21,−27,55,−3.882
LOFC,Right paracentral lobule,49,0,−34,69,−4.364
LOFC,Right postcentral gyrus,49,20,−25,66,−3.659
LOFC,Left paracentral lobule,38,−13,−29,51,−4.970
LOFC,Right median cingulate,18,18,−27,48,−5.194
