Model,ACC (%),P-value,TPR (%),TNR (%),PPV (%),NPV (%),F1 (%)
CBN,65.4 ± 0.01,0.0161498,67.3 ± 0.12,62.7 ± 0.06,59.8 ± 0.01,71.2 ± 0.06,63.0 ± 0.01
GCN(Lo),68.0 ± 0.01,0.0034533,67.8 ± 0.12,66.5 ± 0.04,67.3 ± 0.01,68.1 ± 0.01,67.0 ± 0.04
SA−GCN(Lo),73.0 ± 0.03,0.0306230,65.0 ± 0.07,81.0 ± 0.01,79.6 ± 0.08,71.0 ± 0.08,69.4 ± 0.04
FCN,72.6 ± 0.02,0.0301950,88.2 ± 0.02,56.0 ± 0.07,64.3 ± 0.05,87.9 ± 0.05,74.0 ± 0.01
GCN(Ho),74.5 ± 0.01,0.0462659,74.7 ± 0.02,74.4 ± 0.04,76.5 ± 0.03,75.0 ± 0.01,75.0 ± 0.08
SA−GCN(Ho),75.0 ± 0.04,0.0453326,70.1 ± 0.12,77.3 ± 0.05,77.9 ± 0.01,74.0 ± 0.01,72.0 ± 0.04
GCN(Lo) + GCN(Ho),77.0 ± 0.01,0.0421363,71.3 ± 0.08,78.5 ± 0.04,77.9 ± 0.02,74.7 ± 0.07,73.6 ± 0.04
SA−GCN(Lo) + SA−GCN(Ho),79.9 ± 0.03,/,75.6 ± 0.03,78.6 ± 0.04,78.7 ± 0.01,78.6 ± 0.01,76.1 ± 0.04
