RSN,Epistatic effect,ADE model,ACE model
SAL,8.79%,6.59%,6.59%
DMN,3.63%,5.04%,5.85%
CEN,7.67%,6.09%,9.25%
MOT,21.43%,7.14%,10.71%
VIS,4.40%,5.50%,24.18%
AUD,0%,6.67%,40.00%
BG,0%,6.67%,0
