Unnamed: 0,FIDA,C,p value
"Accuracy, % correct responses",,,
Block 1_Go,97.3 ± 0.2,97.6 ± 0.3,0.1
Block 2_Go,93.6 ± 0.5,93.7 ± 0.7,0.86
Block 2_No-Go,83.6 ± 0.9,85.7 ± 0.9,0.56
Response time (ms),,,
Block 1_Go,307.7 ± 45.3,316.8 ± 55.6,0.41
Block 2_Go,409.7 ± 37.1,403.7 ± 29.5,0.41
