High Gf (n = 38),High Gf (n = 38),High Gf (n = 38),High Gf (n = 38),High Gf (n = 38),Average Gf (n = 31),Average Gf (n = 31),Average Gf (n = 31),Average Gf (n = 31),Average Gf (n = 31)
Age,Gf,Years of education,Handedness,Sex,Age,Gf,Years of education,Handedness,Sex
25.86 ± 4.89,117.72 ± 4.66,14.73 ± 4.25,3 left-handed,15F; 23 M,24.00 ± 2.69,102.98 ± 6.09,14.56 ± 5.87,1 left-handed,18F; 13 M
