Brain region,Number of voxels,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Peak T value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1
Left fusiform gyrus,96,−38,−58,−20,7.69
Left middle and inferior temporal gyrus,128,−64,−52,4,7.85
"Middle and anterior cingulate cortex, medial surperior frontal gyrus",969,4,−16,46,11.11
Right insula,99,40,16,−12,−7.57
Left hippocampus,64,−32,−36,−8,−9.55
Left insula,93,−44,−2,−14,−7.10
