Unnamed: 0,SR,SC,composite index
Age (years) (P),0.322 (0.385),0.274 (0.491),0.099 (0.675)
Years of education (years) (P),0.417 (0.300),0.343 (0.385),0.139 (0.631)
SAPS (P),-0.249 (0.519),-0.097 (0.675),-0.190 (0.558)
SANS (P),-0.192 (0.558),-0.471 (0.300),0.249 (0.519)
PSYRAT (P),0.423 (0.300),0.162 (0.604),0.327 (0.385)
