Seed,Brain region,Cluster size (in voxels),"Coordinate (x, y, z)","Coordinate (x, y, z).1","Coordinate (x, y, z).2",Peak t value,Effect size,Confidence intervals (95%)
Left inferior temporal gyrus,sFC,sFC,sFC,sFC,sFC,sFC,sFC,sFC
Left inferior temporal gyrus,Right middle temporal gyrus,95,66,−15,−12,−4.2959,−1.3422,"[0.6544, 2.0158]"
Left inferior temporal gyrus,Left inferior parietal gyrus,160,−45,−57,48,−4.763,−1.4882,"[0.7855, 2.1759]"
Left inferior temporal gyrus,dFC,dFC,dFC,dFC,dFC,dFC,dFC,dFC
Left inferior temporal gyrus,Left middle frontal gyrus,13,−39,24,39,3.792,1.1848,"[0.5121, 1.8444]"
Left inferior temporal gyrus,Left superior frontal gyrus-medial,7,−3,45,51,3.4448,1.0763,"[0.4132, 1.7273]"
Left inferior temporal gyrus,Left superior frontal gyrus-dorsolateral,6,−15,24,54,3.1947,0.9982,"[0.3415, 1.6434]"
Left inferior temporal gyrus,Left inferior parietal gyrus,25,−45,−54,54,4.5277,1.4146,"[0.7198, 2.0951]"
Right middle cingulate and paracingulate gyri,–,–,–,–,–,–,,
Right postcentral gyrus,–,–,–,–,–,–,,
