Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Peak MNI,Peak MNI,Peak MNI,Unnamed: 7_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,"coordinates,","coordinates,","coordinates,",Unnamed: 7_level_1
Unnamed: 0_level_2,Unnamed: 1_level_2,Unnamed: 2_level_2,Unnamed: 3_level_2,mm,mm,mm,Unnamed: 7_level_2
Unnamed: 0_level_3,Unnamed: 1_level_3,Unnamed: 2_level_3,Cluster,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3,Unnamed: 7_level_3
Unnamed: 0_level_4,Brain regions,BA,size,x,y,z,T
Increased,Left SMA,6,339,–6,–3,78,5.4
FCS,Left insula,13,189,–39,18,–6,4.16
Decreased,Right superior parietal,7,395,21,–72,54,5.12
FCS,Left superior parietal,7,320,–24,–57,54,5.39
,Right medial frontal,11,284,12,69,–3,5.99
