"Threshold (p, t)",p (network),g,N nodes,N edges,FC before,FC after
"0.005, 2.69",0.061,–,–,–,–,–
"0.001, 3.27",0.036,0.60,86,143,0.087,−0.088
"0.0005, 3.52",0.03,0.63,60,81,0.092,−0.091
"0.0001, 4.04",0.039,0.70,9,10,0.109,−0.109
"0.00005, 4.26",0.022,0.71,8,8,0.112,−0.112
