Node,Region,"Coordinate (x, y, z)",BG > MG Edges,MG > BG Edges,Sum of Edges
A a,IPL.R,"(46.46, −46.29, 49.54)",9,2,11
B a,PoCG.R,"(41.43, −25.49, 52.55)",0,11,11
C a,PCG.R,"(7.44, −41.81, 21.87)",6,4,10
D a,IFGoperc.L,"(−48.43, 12.73, 19.02)",7,3,10
