Brain regions,Brodmann’s Area,"Peak MNI coordinates x, y z (mm)",Voxels,Peak T value
zALFF differences,zALFF differences,zALFF differences,zALFF differences,zALFF differences
lSFGmed (CSM > HC),10,"−6, 60, 15",22,4.93
zReHo differences,zReHo differences,zReHo differences,zReHo differences,zReHo differences
lSMG (CSM > HC),40,"−63, −36, 27",77,4.28
