Comparison,Thresholding,Binary Degree,Binary Betweenness,Local Efficiency
Naive > xDF,PT (CE),95.61%,63.16%,98.24%
,ST (FDR),95.61%,48.24%,28.07%
BH > xDF,PT (CE),85.087%,0.877%,95.61%
,ST (FDR),0%,0%,0%
