Comparison,Thresholding,Weighted Degree,Weighted Betweenness,Local Efficiency
Naive > xDF,PT (CE),95.61%,63.16%,98.24%
,ST (FDR),95.61%,61.40%,99.12%
BH > xDF,PT (CE),85.08%,1%,95.62%
,ST (FDR),92.98%,1.75%,95.61%
