Method,Equation,Reference,Neuroimaging Applications
Naive,Nˆ=N−3,???,???& ???& ???
B35,Eq. ???,???,Not found
BH,Eq. ???,??? & ???,???. (0000) & ?????? & ??????
Q47,Eq. ???,??? & ???,??? & ???
xDF,"Eqs. ???, ???",??? & the current work,???
AR1MCPS,Sec. 2.2.2,??? & ???,???; ???
