Unnamed: 0,Unnamed: 1,ρ,p-value
GPIUS2_total score,,0.148,0.107
GPIUS2_preference for online communication,,0.062,0.502
GPIUS2_mood regulation,,0.088,0.341
GPIUS2_self regulation,,0.162,0.063
GPIUS2_negative outcomes,,0.094,0.309
,,,
