Unnamed: 0_level_0,Effect of independent variable to mediator,Effect of independent variable to mediator,Effect of independent variable to mediator,Effect of independent variable to mediator,Direct effect of mediator,Direct effect of mediator,Direct effect of mediator,Direct effect of mediator,Direct effect of independent variable,Direct effect of independent variable,Direct effect of independent variable,Direct effect of independent variable,Indirect effect of independent variable,Indirect effect of independent variable,Indirect effect of independent variable,Indirect effect of independent variable
Unnamed: 0_level_1,β,SE,Standardized regression weight,Unnamed: 4_level_1,β,SE,Standardized regression weight,Unnamed: 8_level_1,β,SE,Standardized regression weight,Unnamed: 12_level_1,β,SE,Boot 95%CL,Unnamed: 16_level_1
,GPIUS2_total-AQ_total,GPIUS2_total-AQ_total,GPIUS2_total-AQ_total,GPIUS2_total-AQ_total,AQ_total-FCs,AQ_total-FCs,AQ_total-FCs,AQ_total-FCs,GPIUS2_total- FCs,GPIUS2_total- FCs,GPIUS2_total- FCs,GPIUS2_total- FCs,,,,
,,,,,,,,,,,,,,,,
MFG_L- MPFC_R,0.161,0.043,0.320,∗∗,-0.007,0.002,-0.310,∗∗,0.002,0.001,0.206a,∗,-0.001,0.001,"[-0.003378, -0.000021]",∗
,,,,,,,,,0.004,0.001,0.306b,∗∗,,,,
,,,,,,,,,,,,,,,,
,GPIUS2_total-AQ_switch,GPIUS2_total-AQ_switch,GPIUS2_total-AQ_switch,GPIUS2_total-AQ_switch,AQ_switch-FCs,AQ_switch-FCs,AQ_switch-FCs,AQ_switch-FCs,GPIUS2_total- FCs,GPIUS2_total- FCs,GPIUS2_total- FCs,GPIUS2_total- FCs,,,,
,,,,,,,,,,,,,,,,
MFG_L- MPFC_L,0.051,0.001,0.361,∗∗,-0.018,0.008,-0.209,∗,0.003,0.001,0.242a,∗,-0.001,0.001,"[-0.002534, -0.000067]",∗
,,,,,,,,,0.004,0.001,0.317b,∗∗,,,,
MFG_L- MPFC_R,0.051,0.001,0.361,∗∗,-0.034,0.008,-0.400,∗∗,0.002,0.001,0.206a,∗,-0.002,0.001,"[-0.003846, -0.000662]",∗∗
,,,,,,,,,0.004,0.001,0.350b,∗∗,,,,
MFG_L- SMA_R,0.051,0.001,0.361,∗∗,-0.018,0.001,-0.251,∗∗,0.002,0.001,0.186a,∗,-0.001,0.001,"[-.002457, -0.000110]",∗
,,,,,,,,,0.003,0.001,0.277b,∗∗,,,,
,,,,,,,,,,,,,,,,
,GPIUS2_mood-AQ_switch,GPIUS2_mood-AQ_switch,GPIUS2_mood-AQ_switch,GPIUS2_mood-AQ_switch,AQ_switch-FCs,AQ_switch-FCs,AQ_switch-FCs,AQ_switch-FCs,GPIUS2_mood- FCs,GPIUS2_mood- FCs,GPIUS2_mood- FCs,GPIUS2_mood- FCs,,,,
,,,,,,,,,,,,,,,,
MFG_L- SMA_R,0.124,0.038,0.284,∗∗,-0.018,0.007,-0.241,∗∗,0.008,0.003,0.247a,∗,-0.002,0.001,"[-0.006538, -0.000308]",∗
,,,,,,,,,0.010,0.001,0.315b,∗∗,,,,
,,,,,,,,,,,,,,,,
