Seed region,Brain regions,Cluster size,Z score,M N I,ADHD(n = 30),HC(n = 28)
Unnamed: 0_level_1,Unnamed: 1_level_1,Voxels,Unnamed: 3_level_1,X Y Z,M ±SD,M ±SD
Right dAI,Left middle frontal gyrus,80,–5.76,–33 9 36,0.02 ± 0.01,0.05 ± 0.01
Right dAI,Left postcentral gyrus,85,–5.02,–48 –33 63,0.02 ± 0.009,0.05± 0.019
Right vAI,Right cerebelum_crus,91,–5.54,33 –75 –48,–0.13 ± 0.14,–0.001± 0.12
Left dAI,Left thalamus,68,–7.75,–3 –15 3,0.02 ± 0.012,0.05± 0.019
Left vAI,Left precuneus,79,8.1,–42 –60 0,–0.09 ± 0.15,0.02 ± 0.14
Left PI,Right temporal pole,65,–6.27,43 20 –22,0.02 ± 0.0.01,0.05 ± 0.016
