Network,Cognitive measure,Unstandardized B,Std. error of B,Standardized Beta,p-value,Effect size (R2 change)
DMN,CFR,0.974,0.398,0.502,0.023*,0.219
,AVLT immediate,0.464,0.491,0.212,0.356,0.039
,AVLT delayed,0.214,0.151,0.317,0.171,0.039
FPN,Verbal fluency,0.405,0.267,0.305,0.145,0.083
