Unnamed: 0_level_0,Gender,Age,Reappraisal,Suppression
Unnamed: 0_level_1,Female/Male,M (SD),M (SD),M (SD)
HRG,12/8,21.25 (1.86),6.11 (0.48),3.51 (0.98)
sMRG,12/8,21.70 (1.95),4.90 (0.29),3.43 (0.85)
p,1.000,0.460,<0.001,0.764
