Color,Red,Blue,Green,Yellow
ROI number,C115,C188,C247,C326
Center of mass,(61.9; −36.3; 34.4),(−27.6; −40.2; −17.6),(−2.1; −43.0; −40.7),(−22.5; −85.5; 31.0)
