Items,AAL,Side,Pre-GCBT (N = 17),Post-GCBT (N = 17),P-value
Pre-GCBT > Post-GCBT,Pre-GCBT > Post-GCBT,Pre-GCBT > Post-GCBT,Pre-GCBT > Post-GCBT,Pre-GCBT > Post-GCBT,Pre-GCBT > Post-GCBT
Rolandic operculum,17,L,0.678 ± 0.058,0.613 ± 0.103,0.008
Parahippocampal gyrus,40,R,0.714 ± 0.093,0.639 ± 0.101,0.017
Lingual gyrus,48,R,0.666 ± 0.091,0.613 ± 0.098,0.047
Pre-GCBT < Post-GCBT,Pre-GCBT < Post-GCBT,Pre-GCBT < Post-GCBT,Pre-GCBT < Post-GCBT,Pre-GCBT < Post-GCBT,Pre-GCBT < Post-GCBT
Temporal pole,83,L,0.713 ± 0.101,0.766 ± 0.077,0.049
