Unnamed: 0_level_0,PROTAIA,PROTAIA,MAVAN,MAVAN
Unnamed: 0_level_1,left OFC,right OFC,left OFC,right OFC
left DS,SGA: 0.028 ± 0.055,SGA: -0.098 ± 0.060,SGA: 0.25 ± 0.06,SGA: 0.18 ± 0.06
left DS,Controls: 0.059 ± 0.034,Controls: 0.061± 0.030,Controls: 0.20 ± 0.03,Controls: 0.19 ± 0.03
left DS,p=0.689,p=0.024*,p= 0.345,p=0.839
right DS,SGA: -0.051 ± 0.066,SGA: -0.101 ± 0.050,SGA: 0.07 ± 0.08,SGA: 0.22 ± 0.05
right DS,Controls: 0.004 ± 0.036,Controls: 0.103 ± 0.030,Controls: 0.04 ± 0.04,Controls: 0.23 ± 0.03
right DS,p=0.521,p=0.003*,p=0.725,p=0.939
left AMY,SGA: -0.066 ± 0.051,SGA: -0.129 ± 0.050,SGA: 0.30 ± 0.06,SGA: 0.10 ± 0.04
left AMY,Controls: 0.033 ± 0.040,Controls: 0.101 ± 0.040,Controls: 0.20 ± 0.04,Controls: 0.13 ± 0.03
left AMY,p=0.283,p= 0.008*,p=0.128,p=0.682
right AMY,SGA: -0.006 ± 0.072,SGA: 0.038 ± 0.042,SGA: 0.28 ± 0.07,SGA: 0.22 ± 0.07
right AMY,Controls: -0.027 ± 0.033,Controls: 0.095 ± 0.040,Controls: 0.14 ± 0.04,Controls: 0.18 ± 0.04
right AMY,p=0.790,p=0.528,p=0.061,p=0.642
left DL-PFC,SGA: 0.004 ± 0.060,SGA: -0.162 ± 0.091,SGA: 0.21 ± 0.06,SGA:0.19 ± 0.07
left DL-PFC,Controls: 0.229 ± 0.040,Controls: -0.007 ± 0.041,Controls: 0.06 ± 0.04,Controls: 0.08 ± 0.04
left DL-PFC,p=0.019*,p=0.119,p=0.036*,p=0.161
right DL-PFC,SGA: -0.056 ± 0.052,SGA: -0.031 ± 0.060,SGA:0.01 ± 0.09,SGA:0.17 ± 0.08
right DL-PFC,Controls: 0.092 ± 0.045,Controls: 0.011 ± 0.052,Controls: -0.14 ± 0.03,Controls:0.12 ± 0.04
right DL-PFC,p=0.147,p=0.719,p=0.045*,p=0.531
