Brain Area,X Axis,Y Axis,Z Axis
Right Anterior Insula (SN)(Palaniyappan and Liddle ???),33,21,–3
Right Orbital Frontoinsula (SN)(Seeley et al. ???),38,26,–10
Posterior Cingulate (DMN)Kuhn and Gallinat ???),–1,–29,26
Right dorsolateral PFC (dlPFC) (ECN)(Seeley et al. ???),44,36,20
Left Lingual Gyrus(Kuhn and Gallinat ???),–11,–57,2
Right Lingual Gyrus(Kuhn and Gallinat ???),11,–55,2
