Unnamed: 0_level_0,Unnamed: 1_level_0,Family size,Family size,Family size
Unnamed: 0_level_1,Unnamed: 1_level_1,1 (n = 115),2 (n = 156),3+ (n = 138)
“g” terciles,T1 (n = 135),53,47,35
“g” terciles,T2 (n = 135),25,54,56
“g” terciles,T3 (n = 139),37,55,47
