Positive,Unnamed: 1_level_0,Negative,Unnamed: 3_level_0,All Emotions,All Emotions
Higher,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1
Insula,ER1,Amygdala,ER2,mPFC,Other
Insula,ER2,sgACC,EG2,Amygdala,ER3
Insula,EG1,sgACC,Other,,
Insula,Other,,,,
Lower,,,,,
,,,,,
dlPFC,ER2,ACC,EG2,Amygdala,ER2
,,Amygdala,ER2,Amygdala,ER3
,,Insula,Other,Amygdala,Other
