Feature Measure,ELM,ELM,ELM,ELM,ELM,ELM,ELM,ELM,SVM-RBF,SVM-Linear
Feature Measure,ACC Training (%),ACC Testing (%),p-value,SEN Testing (%),SPEC Testing (%),BAC Testing (%),PPV Testing (%),NPV Testing (%),ACC Testing (%),ACC Testing (%)
ReHo,91.55±2.70,85.01±3.25,0.001,88.50±6.32,80.00±7.12,84.75±1.32,85.00±2.91,90.50±2.35,70.95±1.53,72.71±4.10
fALFF,80.90±4.08,81.95±5.12,0.001,85.68±2.71,80.00±2.17,82.34±1.75,85.50±2.57,90.50±2.35,68.10±9.70,65.00±6.91
ALFF,79.55±4.10,84.65±3.06,0.001,90.83±4.93,76.67±6.10,83.75±1.32,82.50±2.08,93.00±1.35,72.62±2.81,73.95±3.93
Degree Centrality,88.80±4.80,82.13±1.94,0.001,85.07±4.21,80.83±6.69,82.85±1.32,85.50±2.57,90.00±2.91,70.95±1.44,70.62±5.02
LeftHC-based rsFC,83.58±5.22,82.04±4.26,0.001,87.00±6.10,77.50±5.74,82.25±1.32,83.00±1.83,92.50±2.08,70.95±1.04,65.00±4.98
RightHC-based rsFC,88.96±2.75,80.47±5.13,0.001,73.33±4.05,89.33±4.26,81.33±0.00,93.50±5.69,80.50±1.39,64.52±5.13,64.52±5.89
LeftPCC-based rsFC,88.27±7.63,84.02±3.35,0.001,77.50±5.74,90.83±4.93,84.17±1.76,92.50±2.08,82.50±1.84,67.62±3.15,60.95±7.97
RightPCC-based rsFC,86.60±5.11,81.14±2.87,0.001,84.67±5.15,80.83±6.69,82.75±1.32,85.50±2.57,90.00±2.91,70.71±4.11,69.05±6.84
LeftPCu-based rsFC,86.99±5.03,83.57±3.41,0.001,90.83±4.93,77.50±5.74,84.17±1.76,82.50±2.08,92.50±1.28,71.62±5.89,71.19±6.36
RightPCu-based rsFC,87.88±4.25,82.75±4.36,0.001,83.17±6.87,83.17±6.87,83.17±1.75,87.50±3.18,87.50±3.18,72.82±7.43,69.29±9.97
Concatenation,87.54±2.77,85.81±3.53,0.001,86.67±2.71,85.83±6.69,84.85±1.32,86.50±2.57,90.00±2.91,76.62±5.07,77.69±5.26
