Unnamed: 0,bvFTD (n = 41),HC (n = 39),P-value
Age (year),65.6 ± 7.01,61.7 ± 6.5,0.010a
Sex (male/female),26/15,13/26,0.014b
Education (year),9.1 ± 3.82,10.3 ± 3.84,0.161a
CDR,6.7 ± 3.84,0.0 ± 0.0,–
