Unnamed: 0,Rat(Rattus norvegicus),Grey squirrel(Sciurus carolinensis),Common marmoset(Callithrix jacchus)
Order,Rodentia,Rodentia,Primates
Sleep/wake cycle,Nocturnal,Diurnal,Diurnal
Navigation behavior,Whisking and olfaction,Vision,Vision
Environment,Terrestrial,Arboreal,Arboreal
Body mass,250–500 g,300–710 g,250–650 g
Brain mass,1.8 g,7.6 g,7.8 g
