Unnamed: 0,Unnamed: 1,HB,MN,MN-WU
oxy-Hb,run 1,0.34 ± 0.09,0.29 ± 0.10,0.29 ± 0.10
,run 2,0.35 ± 0.08,0.30 ± 0.08,0.30 ± 0.09
deoxy-Hb,run 1,0.33 ± 0.08,0.25 ± 0.11,0.26 ± 0.12
,run 2,0.34 ± 0.08,0.27 ± 0.11,0.25 ± 0.10
