Tissue types,Absorpt. Coeff. μa (mm–1),Scattering Coeff. μs (mm–1),Anisotropy (g),Refract. Index (n)
Scalp and skull,0.019,7.8,0.89,1.37
CSF,0.004,0.009,0.89,1.37
Gray matter,0.02,9.0,0.89,1.37
White matter,0.08,40.9,0.84,1.37
