Unnamed: 0,Unnamed: 1,L × 100,L × 10–1,L × 10–2,L × 10–3,L × 10–4
oxy-Hb,run 1,0.34 ± 0.09,0.34 ± 0.09,0.33 ± 0.09,0.32 ± 0.10,0.30 ± 0.11
,run 2,0.35 ± 0.09,0.35 ± 0.08,0.35 ± 0.08,0.34 ± 0.09,0.32 ± 0.09
deoxy-Hb,run 1,0.33 ± 0.08,0.33 ± 0.08,0.32 ± 0.08,0.31 ± 0.09,0.29 ± 0.10
,run 2,0.35 ± 0.08,0.34 ± 0.08,0.34 ± 0.08,0.33 ± 0.08,0.31 ± 0.08
