Unnamed: 0,Unnamed: 1,HB,MN,MN-WU
oxy-Hb,r,0.76 ± 0.06,0.61 ± 0.13,0.66 ± 0.12
,"ICC(C,1)",0.76 ± 0.06,0.61 ± 0.13,0.65 ± 0.12
,"ICC(C,k)",0.86 ± 0.04,0.75 ± 0.10,0.78 ± 0.09
deoxy-Hb,r,0.76 ± 0.07,0.60 ± 0.13,0.63 ± 0.15
,"ICC(C,1)",0.75 ± 0.07,0.60 ± 0.13,0.62 ± 0.15
,"ICC(C,k)",0.86 ± 0.04,0.74 ± 0.10,0.76 ± 0.12
