Unnamed: 0,L × 100,L × 10–1,L × 10–2,L × 10–3,L × 10–4
oxy-Hb,0.76 ± 0.06,0.76 ± 0.06,0.76 ± 0.06,0.75 ± 0.07,0.73 ± 0.09
deoxy-Hb,0.75 ± 0.07,0.76 ± 0.07,0.75 ± 0.08,0.74 ± 0.09,0.72 ± 0.10
