Unnamed: 0,Unnamed: 1,Intra-run,Half-length inter-run
oxy-Hb,r,0.57 ± 0.11,0.55 ± 0.12
,"ICC(C,1)",0.56 ± 0.11,0.54 ± 0.12
,"ICC(C,k)",0.71 ± 0.09,0.69 ± 0.10
deoxy-Hb,r,0.53 ± 0.10,0.51 ± 0.10
,"ICC(C,1)",0.53 ± 0.10,0.51 ± 0.10
,"ICC(C,k)",0.68 ± 0.09,0.67 ± 0.09
