Brain areas,"Peak MNI coordinates x, y, z (mm)",Peak F value,Number of cluster voxels
Left insula,"−36, 6, 0",12.4497,116
Left IPL,"−39, −39, 21",15.3541,252
Thalamus,"−3, −18, 15",11.9213,252
