Predominant regions in cluster,Cluster size,Peak T value,MNI coordinates,MNI coordinates,MNI coordinates,Cluster level PFWE-corr
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z,Unnamed: 6_level_1
CADASIL < controls (seed region: left SFG),CADASIL < controls (seed region: left SFG),CADASIL < controls (seed region: left SFG),CADASIL < controls (seed region: left SFG),CADASIL < controls (seed region: left SFG),CADASIL < controls (seed region: left SFG),CADASIL < controls (seed region: left SFG)
Right precentral gyrus,116,−3.78,60,− 6,36,0.037
Bilateral pons,115,−4.79,12,− 18,− 33,0.038
CADASIL < controls (seed region: right SFG),CADASIL < controls (seed region: right SFG),CADASIL < controls (seed region: right SFG),CADASIL < controls (seed region: right SFG),CADASIL < controls (seed region: right SFG),CADASIL < controls (seed region: right SFG),CADASIL < controls (seed region: right SFG)
Right precentral gyrus,239,−4.14,48,9,39,0.001
Left postcentral gyrus,133,− 4.48,− 51,− 21,39,0.020
CADASIL < controls (seed region: right Pcu/CU),CADASIL < controls (seed region: right Pcu/CU),CADASIL < controls (seed region: right Pcu/CU),CADASIL < controls (seed region: right Pcu/CU),CADASIL < controls (seed region: right Pcu/CU),CADASIL < controls (seed region: right Pcu/CU),CADASIL < controls (seed region: right Pcu/CU)
Right cuneus,239,−5.42,6,−87,36,0.002
Right PHG,184,− 5.35,24,−27,−3,0.007
CADASIL compared to controls (seed region: left cerebellar anterior and posterior lobes),CADASIL compared to controls (seed region: left cerebellar anterior and posterior lobes),CADASIL compared to controls (seed region: left cerebellar anterior and posterior lobes),CADASIL compared to controls (seed region: left cerebellar anterior and posterior lobes),CADASIL compared to controls (seed region: left cerebellar anterior and posterior lobes),CADASIL compared to controls (seed region: left cerebellar anterior and posterior lobes),CADASIL compared to controls (seed region: left cerebellar anterior and posterior lobes)
Right pon,109,−4.93,9,−18,− 33,0.057
Left cerebrum,31,−3.84,−24,−15,− 3,0.519
