Paper,Classifier,FC Modelling,Method,Subject,Accuracy (%)
Chen et al. 2016 [???],SVM,Static FC,Pearson correlation,240,79.2
Abraham et al. 2017 [???],SVM,Static FC,Covariance matrix,871,67.0
Heinsfeld et al. 2018 [???],DNN,Static FC,Pearson correlation,1035,70.0
Bernas et al. 2018 [???],SVM,Dynamic FC,Wavelet coherence,54,80.0
Sherkatghanad et al. 2020 [???],DNN,Static FC,Pearson correlation,871,70.2
Our proposed method,CNN,Dynamic FC,Wavelet coherence,72,89.8
