Unnamed: 0,covariance,correlation,dimension
,,,
full dimensionality FC matrix,C*,r*,222 × 222
eigenvectors of FC matrix,Λ*,λ*,222 × 222
basis derived by PCA of control group FC matrices,W^,w^,222 × 30
dimensionality reduced FC matrix,C^*,r^*,222 × 222
component values derived by projection on basis,Ψ*,ψ*,1 × 30
regression coefficients,B*,β*,30 ×:
global C^*:r^* proportionality constant,υ*,,scalar
fraction of variance accounted for by the C^*:r^* model,η*,,scalar
