Functional runs,fMRI RSNs vs. RSN templates,fMRI RSNs vs. RSN templates,EEG RSNs vs. RSN templates,EEG RSNs vs. RSN templates,fMRI RSNs vs. EEG RSNs,fMRI RSNs vs. EEG RSNs
Unnamed: 0_level_1,dmax,d¯,dmax,d¯,dmax,d¯
Auditory feedback,0.7,0.5,0.6,0.4,0.5,0.4
Visual feedback,0.7,0.5,0.6,0.4,0.5,0.3
Transfer run,0.7,0.5,0.6,0.4,0.5,0.4
Localizer,0.6,0.5,0.5,0.4,0.7,0.4
