Unnamed: 0_level_0,11 months,18 months,24 months,30 months,36 months
Unnamed: 0_level_1,Silicone band,Easy cap,Easy cap,Easy cap,Easy cap
Unnamed: 0_level_2,30‐channel,30‐channel,44‐channel,44‐channel,44‐channel
Silicone band 25 mm S‐D temporal lobe 30 mm S‐D frontal lobe,11,/,/,/,/
EasyCap 48 cm25 mm S‐D temporal lobe30 mm S‐D frontal lobe,/,17,5,5,3
EasyCap 50 cm26 mm S‐D temporal lobe31 mm S‐D frontal lobe,/,4,18,16,18
EasyCap 52 cm27 mm S‐D temporal lobe32 mm S‐D frontal lobe,/,/,2,7,12
Total participants tested,11,21,25,28,32
