Sets of CCs,Inversion algorithms,Task runs (Localizer + BMs),Task runs (Localizer + BMs),Resting-state runs,Resting-state runs
Sets of CCs,Inversion algorithms,d* (± std),\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$${p}_{RS}^{*}$$\end{document}pRS∗(± std),d* (± std),\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$${p}_{RS}^{*}$$\end{document}pRS∗(± std)
S1,MN,0.15 ± 0.05,0.22 ± 0.10,0.15 ± 0.05,0.22 ± 0.10
S1,LORETA,0.12 ± 0.05,0.14 ± 0.07,0.12 ± 0.04,0.15 ± 0.06
S1,EBB,0.15 ± 0.05,0.24 ± 0.11,0.16 ± 0.06,0.25 ± 0.11
S1,MSP,0.14 ± 0.05,0.18 ± 0.09,0.12 ± 0.04,0.16 ± 0.09
S2,MN,0.15 ± 0.05,0.24 ± 0.12,0.16 ± 0.05,0.24 ± 0.11
S2,LORETA,0.15 ± 0.05,0.23 ± 0.12,0.15 ± 0.04,0.22 ± 0.12
S2,EBB,0.15 ± 0.05,0.21 ± 0.10,0.15 ± 0.05,0.23 ± 0.11
S2,MSP,0.14 ± 0.05,0.23 ± 0.11,0.14 ± 0.05,0.22 ± 0.09
S3,MN,0.15 ± 0.05,0.24 ± 0.12,,
S3,LORETA,0.16 ± 0.05,0.24 ± 0.12,,
S3,EBB,0.15 ± 0.05,0.23 ± 0.11,,
S3,MSP,0.12 ± 0.07,0.35 ± 0.10,,
