Kruskal-Wallis test,Kruskal-Wallis test,Kruskal-Wallis test,Dunn’s test,Dunn’s test,Dunn’s test,Dunn’s test
χ2,df,p,Comparisons,Z,puncorr.,pFDR
7.87,2,0.019*,HC vs EDSS ≤ 1,0.097,0.923,0.923
7.87,2,0.019*,HC vs EDSS ≥ 2,−2.612,0.009,0.027*
7.87,2,0.019*,EDSS ≤ 1 vs EDSS ≥ 2,−2.316,0.021,0.031*
