State,Regions???,Networks,Components,puncorr.,pFDR,T,d
1,SMG – SMG,FPN – dATT,23 – 49,< 0.001,0.357,−3.332,−0.730
1,Postcentral gyrus – Precentral gyrus,SMN – SMN,89 – 37,< 0.001,0.357,−3.481,−0.913
1,LOcc – SMA,FPN – SMN,69 – 68,< 0.001,0.357,−3.229,−0.639
2,LOcc – TOFC,VIS – VIS,96 – 88,< 0.001,0.270,3.626,0.747
3,Lingual gyrus – Precentral gyrus,VIS – SMN,81 – 37,< 0.001,0.371,3.547,0.755
4,LOcc – TOFC,VIS – VIS,96 – 88,< 0.001,<0.001*,4.485,0.911
5,MFG (left) – Planum Temporale,FPN – SMN,52 – 15,< 0.001,0.368,−3.500,−0.787
5,MFG (left) – Precentral gyrus,FPN – SMN,52 – 37,< 0.001,0.368,−3.353,−0.950
