Brain regions (BGIS patients > HCs),Number of voxels,MNI coordinate,MNI coordinate,MNI coordinate,Peak t value
Brain regions (BGIS patients > HCs),Number of voxels,x,y,z,Peak t value
Conventional frequency band (0.01-0.08 Hz),Conventional frequency band (0.01-0.08 Hz),Conventional frequency band (0.01-0.08 Hz),Conventional frequency band (0.01-0.08 Hz),Conventional frequency band (0.01-0.08 Hz),Conventional frequency band (0.01-0.08 Hz)
Lingual_R,469,3,-84,-9,-4.9214
Frontal_Sup_Medial_R,171,15,57,42,4.2933
Slow-4 frequency band (0.027-0.073 Hz),Slow-4 frequency band (0.027-0.073 Hz),Slow-4 frequency band (0.027-0.073 Hz),Slow-4 frequency band (0.027-0.073 Hz),Slow-4 frequency band (0.027-0.073 Hz),Slow-4 frequency band (0.027-0.073 Hz)
Lingual_R,168,3,-84,-9,-4.6060
Slow-5 frequency band (0.01-0.027 Hz),Slow-5 frequency band (0.01-0.027 Hz),Slow-5 frequency band (0.01-0.027 Hz),Slow-5 frequency band (0.01-0.027 Hz),Slow-5 frequency band (0.01-0.027 Hz),Slow-5 frequency band (0.01-0.027 Hz)
Lingual_L,132,-3,-81,-3,-3.8903
Frontal_Sup_Medial_R,80,15,57,42,4.2933
