WISC-V,WISC-V.1
FSIQ,95 (86–104)
VCI,98 (90–106)
WMI,94 (84–102)
PSI,97 (88–106)
PRI,90 (80–102)
Beery,Beery
Visuomotor integration,94 (88–99)
Visual perception,101 (89–115)
Motor ability,92 (83–102)
