Hamming window,Network,Mean PLE ASD,Mean PLE TYP,p-Value (Bonferroni corrected)
3,SN,0.666,0.506,0.003???
3,DMN,0.669,0.575,0.068
3,FPTC,0.678,0.601,0.392
7,SN,0.656,0.504,0.005???
7,DMN,0.667,0.574,0.077
7,FPTC,0.67,0.598,0.442
11,SN,0.644,0.496,0.006???
11,DMN,0.663,0.569,0.068
11,FPTC,0.661,0.591,0.490
