Unnamed: 0,MCI,SD,MCI-SD,F/χ 2,p
Age (years),66.35 (6.69),66.50 (5.49),66.85 (7.05),0.03,0.97
Female sex (female: male),35.00%,25.00%,35.00%,0.61,0.73
Educational level (years),10.15 (3.23),10.68 (1.82),9.65 (2.47),0.59,0.56
