Unnamed: 0,Fractional variation explained (95% CI),Absolute error (mean ± SD),p value of absolute error comparison
Mutual information,49% (46%–51%),9.1 ± 7.7,0.04
Pearson,17% (13%–19%),13.0 ± 10.0,0.04
