Unnamed: 0,Mild WMH,Moderated-Severe WMH,t,p
PVWMH volumes (mm3),"5,759.38 ± 3,073.10","13,901.84 ± 7,360.75",6.788,<0.001
DWMH volumes (mm3),"6,648.44 ± 12,457.04","9,397.07 ± 8,356.50",1.182,0.241
Total WMH volumes (mm3),"12,790.73 ± 13,276.32","24,749.59 ± 13,336.21",3.956,<0.001
