Pipeline step,Metric,Activation‐informed segmentation,Activation‐informed segmentation,Activation‐informed segmentation,Sliding window,Sliding window,Sliding window
Pipeline step,Metric,WM Session 1,WM Session 2,Average,WM session 1,WM session 2,Average
Change point discovery,Overall Precision,0.74,0.7,0.72,–,–,–
Change point discovery,Overall Recall,0.67,0.64,0.66,–,–,–
Change point discovery,Task 1 Recall,0.72,0.62,0.67,–,–,–
Change point discovery,Task 2 Recall,0.54,0.59,0.57,–,–,–
Change point discovery,Rest Recall,0.77,0.73,0.75,–,–,–
Clustering,Optimal k,3.0,3.0,3.0,5,5,5
Clustering,Homogeneity,0.327,0.233,0.28,0.037,0.037,0.037
Clustering,NMI,0.231,0.159,0.195,0.018,0.018,0.018
